,Unnamed: 0.1,Unnamed: 0,filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
139,139,139,20. Art Blakey - The Things I Love.mp3,0.3139084,0.09554899,0.04909893,0.00056779553,2277.475364211399,406665.4841799943,2538.604060718837,164318.4747415759,4774.8461271587175,3152271.2951643323,0.0888055854537538,0.002253232436977,-6.3423647e-07,0.0013169725,-2.2649368e-05,0.0008335594,95.703125,-223.96797,5125.0493,87.260376,883.3721,-5.6611576,557.86554,10.016529,189.47823,14.549213,115.918274,4.605497,57.52949,4.1546426,62.872013,1.0419968,52.37035,-6.6463375,64.37726,0.38421857,70.93002,-0.3670354,74.14179,3.44955,89.4687,0.4355018,106.3386,6.0688105,110.1094,-1.7083821,102.05552,3.7155411,104.0778,-0.85810477,126.87924,1.2837226,101.70999,-4.645613,104.154945,0.39605618,115.795425,jazz
140,140,140,20. Clark Terry - Spanish Rice.mp3,0.36722776,0.09245262,0.1873596,0.0030431475,2204.33569331727,922718.6009861864,2407.514163094128,227428.34969901256,4584.897275753435,3548141.494270655,0.0955493088477167,0.0047970125897933,-3.695661e-07,0.014875424,-4.175226e-06,0.0114155,123.046875,-73.70846,2095.136,101.764824,901.63214,1.912253,669.6442,16.35405,290.62558,0.8920681,284.12167,5.0211563,161.75092,-11.041439,124.51395,0.27280092,137.82556,-12.14588,90.70658,0.25965056,92.472305,-14.329946,86.332306,-2.0790615,73.62509,-6.0750375,79.90685,-4.529879,58.22128,-12.5633135,55.83635,-0.10772338,60.047844,-10.730609,61.584522,-4.44328,60.978653,-7.4337964,49.328472,-0.8466238,36.096336,jazz
141,141,141,21. Chick Corea - Spain (Composite Alternative Take).mp3,0.26112154,0.08777383,0.18391457,0.0017339165,2271.8762547872734,386819.6144483386,2702.715222783393,125259.18242745002,5293.084660107876,2688211.8063481147,0.0815546844765866,0.0007593041706734,3.648089e-06,0.028608683,-4.3322043e-06,0.002114925,143.5546875,-87.25229,1717.5972,92.71145,621.2574,31.040823,218.40045,17.367552,150.15039,-8.575378,135.49504,1.8938173,67.32435,-3.6324513,74.244156,1.0586215,83.900566,-4.346226,69.91759,-0.4643668,77.87978,-3.0796473,80.8937,6.2061744,90.183945,4.594166,87.87337,4.687054,99.61687,-0.7677456,83.61855,2.3974855,75.18029,-3.093909,71.06297,3.3817747,83.243744,-3.8527946,88.77701,2.8800118,106.04997,jazz
142,142,142,21. Lena Horne - I Love to Love.mp3,0.2671186,0.09629331,0.06377074,0.0017084389,1577.6053931936012,679873.2255869685,1899.0977945637685,264081.7419270501,3019.598407568208,3108288.390485933,0.0676329999516253,0.0032626720408274,-3.7384078e-07,0.0034951835,-1.7202295e-06,0.00092055305,117.45383522727272,-265.3201,6258.333,126.67134,1504.0902,-0.31898427,992.61456,24.86687,269.39746,-0.99534,313.74417,-4.4008675,208.65913,-1.0563556,169.80405,-8.215788,116.36336,-7.445594,90.86714,-1.6119817,104.18266,-6.053019,69.922585,-1.8285798,66.67559,-13.0403805,83.219574,0.666999,74.97973,-5.845215,98.35421,-4.5258126,148.49362,0.72316647,141.06528,1.5715518,147.61397,0.6490709,157.72284,3.430819,183.72221,jazz
143,143,143,22. Ben Webster - You Are Too Beautiful.mp3,0.24985655,0.09167286,0.09332778,0.0024304502,742.1428619236567,30376.274360078864,1186.2591915942544,34741.23180347596,1278.0506051361745,162090.08492927064,0.0314223345588235,0.0001961625875008,-6.832068e-05,0.00923173,-2.524212e-05,0.00043561636,107.666015625,-275.9049,1322.9034,183.5289,272.3175,-3.047711,372.79416,19.51109,112.10877,22.888866,64.184975,-3.60322,92.44541,4.8519588,86.440865,-1.0381315,41.848114,-5.693601,41.7712,-0.56944096,40.142963,-1.3938379,28.102703,-2.4347775,49.75214,-1.8677666,43.744476,-0.63817704,37.837917,-1.9321418,41.24589,0.3025332,33.96361,1.3594327,34.81178,-0.7003249,45.578014,0.29250866,35.78037,-0.32482117,37.484703,jazz
144,144,144,22. The Crusaders - My Lady.mp3,0.32176945,0.08531685,0.05898304,0.0006079812,2270.2979866228948,482181.0269086568,2330.661669877817,215749.1539856149,4695.5632732379545,2564744.5100184395,0.1192600498258514,0.0020548907433638,-2.6791347e-06,0.0020843905,-8.605087e-05,0.0011485022,89.10290948275862,-183.01834,3384.9756,96.57713,1078.6968,-7.277288,467.6804,12.6878,238.99274,-7.045661,90.289375,10.673371,66.321655,-7.857809,72.49331,1.4322025,75.543465,0.71689796,65.35672,-1.2727917,56.484047,-2.798575,53.22467,6.8831086,82.0364,-1.8633275,79.617935,0.5390781,86.73215,2.4291103,83.35621,-3.9822435,72.11222,-0.630931,85.75477,2.9932437,67.22238,-5.7170534,68.586494,0.92162234,67.27276,jazz
145,145,145,23. Ben Webster - Love Is Here to Stay.mp3,0.27596036,0.09029717,0.13965544,0.005871537,2163.7241038519014,238063.94638679235,2159.001388871463,48968.30353152097,4414.498306132691,849845.6623763536,0.0927469826335139,0.002006494262165,4.883425e-07,0.020668525,-7.969814e-06,0.001274102,95.703125,-137.25066,3460.4258,83.07527,913.7252,-20.51671,354.33673,40.283913,125.409454,-2.3925195,166.55833,16.981833,85.09111,-8.405082,103.578804,2.8208022,73.002686,-5.81732,62.491318,-3.1322377,67.01704,-5.961078,62.58629,0.20396802,43.484253,-0.56278116,44.0999,1.7795923,93.17706,7.3972797,152.06699,6.7839417,131.20421,4.109662,90.66804,6.5233107,133.70428,-1.4543725,167.82837,3.3772104,151.34,jazz
146,146,146,23. Nancy Wilson - Ode To Billie Joe.mp3,0.37069488,0.08903645,0.13417351,0.0018310288,2218.540939278113,337086.08088504965,2425.823362467089,85103.11859527038,4699.896580368372,1247159.8884634,0.0920723835381192,0.0020955250484575,2.8163067e-05,0.0105118435,3.3761546e-05,0.0034308173,99.38401442307692,-104.740456,1397.7175,82.65324,466.21625,3.2762976,309.6503,49.172413,184.86942,12.362543,89.3522,4.0664053,91.70988,-2.5556717,71.94693,1.6981823,46.732014,-15.174929,40.112206,-2.079922,55.161354,-12.807091,36.14917,-4.4924393,39.108814,-4.223595,55.133987,-5.232358,46.617287,-8.161508,52.88861,-8.95578,50.034714,-8.252524,32.194912,-4.877513,52.3673,-1.9462774,78.05377,-2.1949449,88.67378,jazz
147,147,147,24. Antonio Carlos Jobim - The Red Blouse.mp3,0.3506037,0.08865033,0.09877343,0.002296852,1770.489720785671,429269.132767525,2446.32392480777,171445.65099413067,4223.74945956487,3236765.198315097,0.0553620990953947,0.0008752823764655,-0.0010688824,0.0072797784,-0.0021557573,0.0019443819,172.265625,-187.63025,3939.0107,106.48041,610.3761,38.709312,174.75633,32.0111,122.522255,-0.49757555,62.843998,17.367073,67.95644,-4.5777917,49.658844,-3.1459665,50.554607,-2.5494165,46.504395,1.9366868,54.906715,-7.26005,43.080627,8.527679,36.55698,-1.1174866,47.989292,4.535461,48.860703,-3.7286556,40.70596,1.3954871,40.006756,-0.5940649,38.17952,3.3599203,33.64477,-1.1610869,48.906647,-0.98626256,36.339317,jazz
148,148,148,24. Benny Carter - Prelude to a Kiss.mp3,0.2974363,0.08839654,0.077524826,0.00123333,1756.942732606646,745708.8989078769,1745.4054408993293,273299.82490467443,3363.2796627080106,2572681.7093750546,0.0906018708881579,0.0032912864443415,-4.2226182e-07,0.00460176,2.9190692e-06,0.0010789334,89.10290948275862,-202.72748,8291.621,115.94926,2303.7725,-27.577314,612.81433,25.961662,250.28256,-3.6312618,198.85368,0.2389926,129.79068,-6.2005463,98.26945,-10.330748,89.37269,-10.180474,98.78005,-0.871411,84.18888,-6.9335637,95.30435,-3.8449302,157.46365,-3.011392,149.1543,-5.3308864,104.47576,-10.052188,103.80667,-5.7454104,107.640236,-6.91901,94.06558,0.43069932,124.80211,-4.236186,119.78239,-0.21915674,110.12008,jazz
