filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
"096. Alok, John Martin - Wherever You Go.wav",0.4464808,0.09308155,0.3033387,0.012885619,2080.3599516632175,705359.8573980695,2695.5416601068155,238117.7505149616,5003.986408245452,4520270.691528925,0.058468656274187306,0.0023204376454811714,1.5334927e-05,0.054086972,1.946447e-05,0.024613863,123.046875,-71.3168,3830.0078,99.07479,947.203,23.49679,351.66345,15.469357,310.26312,14.350592,232.98901,6.8501134,176.84392,3.312403,158.59814,9.048524,112.63393,-3.5418952,99.462555,4.42849,127.489334,6.815909,116.28716,2.3156533,82.97687,-3.0917969,85.54861,1.482506,86.49835,0.20797357,57.00373,4.0732064,57.599834,-4.5352025,74.348976,3.6610858,58.39791,-3.0606894,60.739033,0.014911038,41.05879,pop
"097. Cheat Codes, Lee Brice, Lindsay Ell - How Do You Love (with Lee Brice & Lindsay Ell).wav",0.3740838,0.08506147,0.31774747,0.005834637,3004.973476273896,446030.4341406368,2900.533215444551,55455.108313808145,6634.159884142802,862387.9371513888,0.11952346471071981,0.002954165771566306,-3.0699364e-05,0.061537866,-0.000264419,0.017711706,151.99908088235293,12.924073,1118.8804,65.69165,700.7738,12.474214,333.29016,20.67214,224.92241,-3.842944,187.41748,4.5058274,150.30385,-10.467688,164.42268,5.578839,132.04349,-6.8912086,80.87102,1.4849238,122.70586,-3.4665456,101.34088,1.6872042,72.50606,-3.9024918,63.012573,-0.23062284,62.165756,-2.125038,41.40284,2.608132,57.10201,-5.1574173,58.372086,3.7570324,49.050926,-2.5566056,54.09453,2.4313993,56.688904,pop
"098. Kygo, X Ambassadors - Undeniable.wav",0.40104118,0.094841026,0.19943677,0.006191708,2756.180818524492,740324.0924962816,2908.3809463765183,140367.71928515605,6338.053341325222,2423196.2252031746,0.09675149356617647,0.003481558612777635,-6.368138e-06,0.026376523,0.00018206218,0.009343677,107.666015625,-84.09929,4806.7695,67.676056,834.1323,23.482834,650.91455,27.966385,363.26828,11.454346,202.71185,12.914104,157.54204,4.985728,130.27376,9.759063,93.14891,-2.2971373,157.06131,9.063531,109.856476,-1.255811,88.69133,3.6229773,92.53671,-0.88937896,86.4217,-2.535184,80.580765,1.7131968,79.6976,1.9775287,60.252407,-4.4679384,63.09251,7.758617,65.65296,0.5846057,66.13245,2.2336001,86.76513,pop
099. JESSIA - But I Don'T.wav,0.4157693,0.09688346,0.19427368,0.014202738,2352.13975961524,1740284.710072026,2546.5384340270225,352541.5278195119,4881.1371510981035,5595699.652490452,0.09075908838041796,0.011003429617916193,2.6933601e-05,0.023244794,6.4402615e-05,0.018579714,123.046875,-151.52351,8607.229,79.834404,2107.8914,8.334414,1122.2494,28.349361,569.5279,11.300981,338.86743,3.482832,400.29623,8.97815,287.51645,-7.1485004,350.53622,8.845503,201.92505,-2.097632,197.95818,-3.8647118,175.44293,1.4580073,144.58408,-9.889603,174.1866,9.622589,111.73377,-6.7397046,88.93457,-0.4995751,89.065315,-3.3565595,73.504265,0.7373062,73.55855,-8.83401,73.45221,-1.1345277,93.18685,pop
10. Post Malone - I Like You (A Happier Song).wav,0.45246822,0.09102227,0.35437635,0.014560357,2380.1486568080127,767087.3781604875,2747.5005371781604,229994.22160587512,5343.767686967879,3605574.966142194,0.0689156830495356,0.0022465136255274284,-0.00013227534,0.092761725,-0.000810469,0.024243958,99.38401442307692,-42.480663,2381.3357,87.14678,1195.7338,24.926552,948.35834,29.183802,476.7356,0.3955355,267.25122,4.3613787,215.14372,10.856073,158.51778,-0.07109986,208.66005,3.8644078,223.67622,-4.8113623,152.13794,-3.5128698,103.04793,-2.0158806,141.61462,-1.0929501,113.62038,1.3217512,84.042,-8.790463,114.40838,0.42353505,65.34991,-3.5696273,68.500656,-2.1194808,68.5884,-0.9785484,44.746105,5.9207373,52.90634,pop
100. Taylor Swift - We Are Never Ever Getting Back Together (Taylor's Version).wav,0.4190387,0.08724825,0.24415892,0.007566067,3227.479658576984,422889.9046142413,2876.0077377235325,95769.55622585125,6575.935236219282,1610979.412405212,0.14984036377708979,0.0031135202529376025,4.677133e-06,0.035219487,0.00021799779,0.014733761,86.1328125,-25.858263,1339.8999,47.717037,391.1261,-0.19606495,464.45966,28.708437,259.3515,8.146665,119.16259,9.142646,158.70895,14.271206,113.21453,6.159119,97.38506,6.1591268,91.49039,10.96073,88.12819,-6.1256056,81.32659,3.5899858,65.46555,-2.2806494,68.9239,7.037002,78.69206,3.4725292,79.833626,3.4634345,79.12419,8.243392,99.80797,7.8239937,122.39772,0.71058977,75.61982,3.4000595,98.1794,pop
11. Lizzo - About Damn Time.wav,0.42008615,0.09465414,0.25885427,0.010601433,2399.1071004088117,687510.26253026,2643.881774197642,215235.48393900984,5369.392532017947,2833447.253724488,0.09474319127321981,0.0034205113589483123,5.1082872e-05,0.028828263,0.00092787214,0.026177641,107.666015625,-49.022118,3141.8242,86.21234,833.3621,8.478051,479.8589,26.66801,316.4252,9.343425,210.97383,12.160424,263.99814,5.8176513,101.88773,6.6938567,114.57597,-0.3755119,109.5466,5.3969154,101.30435,-3.127296,72.35283,-0.8504467,63.17571,-0.40312776,70.61344,3.1385956,78.32078,3.3091958,92.80059,3.134327,101.47719,1.2313483,77.777794,2.4649775,79.160706,0.1771238,84.206,5.6286817,83.281685,pop
12. OneRepublic - I Ain't Worried.wav,0.35312852,0.09013993,0.27733842,0.0077397744,2519.3198999652445,660613.0661888527,2676.3094618754026,147300.4023222526,5646.115858709849,2383851.5483200364,0.10078132558533281,0.004685601974044614,1.2569998e-05,0.048274677,0.0003571701,0.014825255,69.83741554054055,-25.712545,3096.8948,82.494415,698.6981,4.2330856,725.9447,13.466541,278.95676,3.0398345,145.25146,13.681579,129.99257,-3.4821181,149.46677,9.209148,111.59131,-2.1978254,103.42886,6.227336,88.750786,-3.4156106,53.435745,1.0705452,53.624744,-4.9175925,54.020576,2.0821927,54.68996,-3.1310136,56.511417,-2.0307949,68.06244,-2.7281861,65.06242,1.2982733,69.114365,-3.9524395,59.564205,3.6396756,112.40049,pop
13. Hailee Steinfeld - Coast.wav,0.41147855,0.096872665,0.33124256,0.012075038,2561.4157641937063,532041.3431174875,2774.3846616338715,143630.92170869544,5742.406943117502,2348258.524259743,0.08325384275832043,0.00251562399403786,6.110097e-07,0.0641313,0.000779855,0.025215361,112.34714673913044,-21.937866,2790.4358,77.383705,500.95422,5.5832205,301.48154,24.194166,310.78372,7.6841116,146.86844,11.399424,138.16414,9.73705,97.885895,6.2521367,107.9802,4.992066,60.07971,8.316658,91.42219,1.4975079,58.860798,8.090578,62.21205,1.9046808,55.880943,7.8735714,44.316704,2.5272686,52.95459,1.8206971,55.828983,-1.7385056,49.89242,-0.89809036,47.490356,-6.717042,46.594414,-0.26640773,54.072636,pop
14. Noah Kahan - Stick Season.wav,0.32653657,0.09038831,0.2357636,0.006539947,2418.156312100826,861298.2340160997,2649.5738853228822,237013.81165109423,5194.018592480166,4043881.1834262605,0.10310897590944272,0.004198389505185743,2.2749578e-06,0.028375706,-0.00036552138,0.01904758,117.45383522727273,-51.301296,1415.448,89.73751,731.4677,5.6811805,402.5365,15.048822,200.77783,9.256066,165.9425,-1.5348828,112.04636,-0.56369877,116.99243,0.6355877,83.837494,-4.6997952,98.6239,-5.4570956,78.04435,-7.61917,69.36408,1.7070545,50.91457,-5.3708267,63.68194,-1.7663774,45.98111,-8.014738,52.540157,-6.390258,57.937283,-12.368968,67.01628,1.4000516,74.73258,-9.292096,69.527596,-8.055334,69.939445,pop
